Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (�)
Department of Health,NHS Barnsley CCG,30/09/2018,Cont Care- Prior Year Payments,FUNDED NURSING CARE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23821811,"289,877.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23884567,"324,143.11 "
Department of Health,NHS Barnsley CCG,30/09/2018,Cont Care- Prior Year Payments,CHC AD JNT FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23884590,"330,659.32 "
Department of Health,NHS Barnsley CCG,30/09/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23884594,"312,673.29 "
Department of Health,NHS Barnsley CCG,30/09/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23884595,"386,525.90 "
Department of Health,NHS Barnsley CCG,30/09/2018,Other Gen Supplies & Srv,PROGRAMME PROJECTS,BARNSLEY PREMIER LEISURE TRUST,23947904,"50,414.40 "
Department of Health,NHS Barnsley CCG,30/09/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23829128,"53,719.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23975888,"(31,204.00)"
Department of Health,NHS Barnsley CCG,31/08/2018,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,23661831,"52,149.74 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"7,074.92 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"82,616.66 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,454.82 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"25,297.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"7,981.53 "
Department of Health,NHS Barnsley CCG,30/09/2018,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"21,266.58 "
Department of Health,NHS Barnsley CCG,30/09/2018,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DEARNE VALLEY GROUP PRACTICE,24012081,"21,090.68 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DODWORTH PRACTICE,23813431,"44,147.66 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DODWORTH PRACTICE,23813431,49.62 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DODWORTH PRACTICE,23813431,133.69 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DODWORTH PRACTICE,23813431,"2,406.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DODWORTH PRACTICE,23813431,"3,886.85 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,23663987,"6,094.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,23663987,"522,583.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"90,105.71 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"4,977.05 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,23.99 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,721.71 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"1,165.97 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"20,733.65 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"1,987.50 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,345.00 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOVE VALLEY PRACTICE,23813394,"10,374.08 "
Department of Health,NHS Barnsley CCG,30/09/2018,Soc Care-Bed-Based Int Care Servs,INTERMEDIATE CARE,HIGHSTONE MEWS CARE HOME,23849313,"37,656.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,23898984,923.00 
Department of Health,NHS Barnsley CCG,30/09/2018,Income tax <1Yr,BALANCE SHEET,HMRC,23898984,"66,189.90 "
Department of Health,NHS Barnsley CCG,30/09/2018,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,23898984,"1,510.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,23898984,"46,391.65 "
Department of Health,NHS Barnsley CCG,30/09/2018,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,23898984,"33,216.11 "
Department of Health,NHS Barnsley CCG,30/09/2018,External Data Contracts,BUSINESS INFORMATICS,KIER BUSINESS SERVICES LTD,23774048,"13,850.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,External Data Contracts,COMMISSIONING SCHEMES,KIER BUSINESS SERVICES LTD,23774048,"15,206.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Telecoms-Data lines,PRIMARY CARE IT,KIER BUSINESS SERVICES LTD,23774048,"48,439.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,23308188,(662.04)
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,23308188,"(41,760.45)"
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,23579748,"1,797.00 "
Department of Health,NHS Barnsley CCG,31/08/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,23579748,"91,655.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,MID YORKSHIRE HOSPITALS NHS TRUST,23774047,"2,465.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID YORKSHIRE HOSPITALS NHS TRUST,23774047,"224,013.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"52,859.40 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"3,280.83 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"2,074.22 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"21,355.85 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"5,139.74 "
Department of Health,NHS Barnsley CCG,30/09/2018,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"2,234.96 "
Department of Health,NHS Barnsley CCG,30/09/2018,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813404,"2,266.22 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"4,656.90 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"74,628.33 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,679.04 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"3,122.46 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"4,653.91 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"1,092.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012083,"7,953.33 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"5,287.70 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"92,018.11 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,760.92 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"1,660.77 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"3,062.89 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"1,572.92 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"1,286.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012085,"9,471.17 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,(571.03)
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,"(6,301.15)"
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,(99.93)
Department of Health,NHS Barnsley CCG,30/09/2018,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,(453.29)
Department of Health,NHS Barnsley CCG,30/09/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,"(12,430.96)"
Department of Health,NHS Barnsley CCG,30/09/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813409,"(13,247.55)"
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"133,696.88 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"8,091.63 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"2,952.77 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"6,333.33 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"2,075.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813410,"13,531.04 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,24038203,"(77,745.04)"
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24038203,"(5,491.20)"
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,24038204,"143,128.01 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24038204,"27,212.77 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,24038204,"5,491.20 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24016592,"22,073.14 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24016592,404.79 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24016592,908.56 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24016592,"1,473.37 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24016592,"2,173.13 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,"40,115.98 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,335.50 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,222.82 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,"1,681.25 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,"1,161.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012086,"3,963.16 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"39,085.03 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"2,171.70 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,7.74 
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"1,218.39 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"2,930.13 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"8,600.00 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"1,487.66 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23813408,"2,399.58 "
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012091,(453.80)
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012091,(79.42)
Department of Health,NHS Barnsley CCG,30/09/2018,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012091,(468.70)
Department of Health,NHS Barnsley CCG,30/09/2018,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012091,"(13,175.08)"
Department of Health,NHS Barnsley CCG,30/09/2018,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24012091,"(13,487.49)"
Department of Health,NHS Barnsley CCG,30/09/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,24035205,"6,452.40 "
