"SUPPLIER_STANDARD_NAME","CCGCount","Spending"
"ACORNS CHILDRENS HOSPICE TRUST",4,1072840.08
"BARDOC LIMITED",4,10292246.77
"CHILDREN'S HOSPICE SOUTH WEST",4,760952
"CHOICE SUPPORT",4,1342754.71
"CRUSE BEREAVEMENT CARE",4,222261.5
"FAMILY ACTION",4,704913
"FCMS (NW) LIMITED",4,17128933.99
"FITZROY SUPPORT",4,909097.56
"HAVENS HOSPICES",4,1781273
"KATHARINE HOUSE HOSPICE",4,2241739.67
"KEECH HOSPICE CARE",4,1359621.64
"LOCALA COMMUNITY PARTNERSHIPS C.I.C.",4,43495886.23
"MENCAP",4,210048.5
"MILESTONES TRUST",4,1501019.86
"NORTH HAMPSHIRE URGENT CARE LIMITED",4,7719009.26
"ONE HOUSING GROUP LIMITED",4,656556
"PBS4",4,417588.1
"PILGRIMS HOSPICES IN EAST KENT",4,2441619.43
"PRINCESS ALICE HOSPICE",4,2169281.3
"PROVIDE COMMUNITY INTEREST COMPANY",4,25138627.04
"PURPLE CONVERSATION COMMUNITY INTEREST COMPANY",4,910250.99
"SAINT FRANCIS HOSPICE",4,2735955.84
"SEASHELL TRUST",4,598802.71
"SELF HELP SERVICES",4,2360403.02
"SELF MANAGEMENT UK LIMITED",4,489754
"SENSE",4,531485.39
"SENSE, THE NATIONAL DEAFBLIND AND RUBELLA ASSOCIATION",4,179109.9
"SOUTHSIDE PARTNERSHIP",4,4722082.92
"ST ANNE'S COMMUNITY SERVICES",4,2676095.78
"ST BARNABAS HOSPICE TRUST",4,5217025.16
"STARFISH HEALTH AND WELL-BEING COMMUNITY INTEREST COMPANY",4,3333839.19
"SUFFOLK GP FEDERATION C.I.C.",4,10098481.28
"THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE",4,1304510.01
"THE DAVID LEWIS CENTRE",4,404580.5
"THE HEALTHCARE MANAGEMENT TRUST",4,10853133.49
"TOGETHER FOR MENTAL WELLBEING",4,1754952.7
"TRINITY HOSPICE",4,1521606.67
"ACTION FOR CHILDREN",3,734820.36
"BELONG LIMITED",3,501880.58
"BRADFORD VCS ALLIANCE LIMITED",3,757000
"BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY",3,49103962.74
"BROMLEY, LEWISHAM & GREENWICH MIND LTD",3,780218.97
"CARERS FEDERATION LTD",3,134289
"CHOICES HOUSING ASSOCIATION LIMITED",3,137399.46
"CITY HEALTH CARE PARTNERSHIP CIC",3,82593252.75
"COVENTRY MIND",3,300445.5
"DEVON DOCTORS LIMITED",3,27119716.92
"DIABETES UK",3,180382.15
"DOUGLAS MACMILLAN HOSPICE",3,2815318.46
"DR KERSHAWS HOSPICE",3,889264
"FIRST COMMUNITY HEALTH & CARE C.I.C.",3,19722808.47
"HIGHTOWN HOUSING ASSOCIATION LIMITED",3,2524173.61
"IMAGINE",3,177698.52
"KENT SURREY SUSSEX AHSN LIMITED",3,161218.02
"LOCAL CARE DIRECT LIMITED",3,2775514.33
"LONDON CYRENIANS HOUSING LIMITED",3,671594.04
"MAKING SPACE",3,2126553.76
"MENTAL HEALTH CONCERN",3,6679365.77
"MENTAL HEALTH MATTERS",3,6394369.08
"OUTLOOK CARE",3,418968.85
"ROYAL HOSPITAL FOR NEURO-DISABILITY",3,1988397.38
"ROYAL TRINITY HOSPICE",3,1143137
"SOUTH YORKSHIRE EATING DISORDERS ASSOCIATION",3,130000
"SPIRAL HEALTH C.I.C.",3,1570138
"ST JOSEPH'S HOSPICE HACKNEY",3,2777581
"ST LUKE'S CHESHIRE HOSPICE",3,566860
"ST RICHARDS HOSPICE FOUNDATION",3,1447564.99
"ST WILFRID'S HOSPICE (EASTBOURNE)",3,2167643.54
"ST. OSWALD'S HOSPICE LIMITED",3,2156556.43
"THE BRENDONCARE FOUNDATION",3,2551136.3
"THE LIVEWELL FOUNDATION",3,88309072.41
"THE MYTON HOSPICES",3,2650010.25
"THE PERCY HEDLEY FOUNDATION",3,456550.84
"THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE",3,90649.82
"TRELOAR TRUST",3,178260.53
"WAYMARKS LIMITED",3,147301.71
"WESSEX CHILDREN'S HOSPICE TRUST",3,90600
"WILLOWBROOK HOSPICE",3,1418413.68
"WOODLANDS HOSPICE CHARITABLE TRUST",3,2370268.76
"THE SHROPSHIRE DOCTORS' CO-OPERATIVE LIMITED",3,4537972.47
"DIMENSIONS (UK) LIMITED",3,5716383.5
"DOROTHY HOUSE",3,1401797.15
"ST. CATHERINE'S HOSPICE (LANCASHIRE) LIMITED",2,1349464
"ACCELERATE HEALTH CIC",2,932159.11
"ACTION FOR ASD",2,342849
"ACTION FOR DEAFNESS",2,1000273.31
"ADHD NORTH WEST",2,84643
"AGE UK NOTTINGHAM AND NOTTINGHAMSHIRE",2,297938
"AGEUK SALFORD",2,657060.96
"ALLIED HEALTH PROFESSIONALS SUFFOLK CIC",2,2120909.48
"AMICA CARE TRUST",2,217275.4
"ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY",2,29428117.98
"ASHGATE HOSPICE",2,2882448
"AUTISM INITIATIVES",2,64324.37
"BETHEL HEALTH AND HEALING NETWORK",2,178550
"BEVAN HEALTHCARE C.I.C.",2,2802442.17
"BEXLEY HEALTH NEIGHBOURHOOD CARE C.I.C.",2,1312858.79
"BIG LIFE SERVICES",2,506270.2
"BIRMINGHAM AND SOLIHULL WOMEN'S AID",2,313081.33
"BIRMINGHAM CHILDRENS TRUST",2,414994.53
"BLACK COUNTRY WOMEN'S AID",2,127108.25
"BRADFORD AND DISTRICT COMMUNITY EMPOWERMENT NETWORK LIMITED",2,190607
"BRADFORD CARE ALLIANCE CIC",2,7248385.04
"BRADFORD TRIDENT LIMITED",2,274960
"BRIGHTER FUTURES HOUSING ASSOCIATION LIMITED",2,582938
"BRISTOL COMMUNITY HEALTH C.I.C.",2,46058257.31
"BRITISH INSTITUTE OF LEARNING DISABILITIES",2,215797.5
"BRUNELCARE",2,1904242.15
"BUTTERWICK HOSPICE CARE",2,943147.96
"CARALINE",2,117280
"CARE SOUTH",2,151975.59
"CATALYST STOCKTON-ON-TEES LIMITED",2,616137.4
"CENTRAL LANCASHIRE AGE CONCERN LTD",2,281280
"CHUMS SOCIAL ENTERPRISE C.I.C.",2,223392.75
"CITIZENS ADVICE BUREAU",2,553614.61
"COMMUNITY ACTION BRADFORD & DISTRICT LTD.",2,54075
"COMMUNITY ACTION HAMPSHIRE",2,232016
"COMMUNITY FIRST",2,69400
"CONNECTION SUPPORT",2,82478.2
"CROSBY HOUSING ASSOCIATION",2,90769
"CUMBRIA HEALTH ON CALL LIMITED",2,12457768.39
"DARLINGTON AND DISTRICT HOSPICE MOVEMENT",2,1219113
"DARLINGTON CITIZENS ADVICE BUREAU",2,103800
"DEMELZA HOSPICE CARE FOR CHILDREN",2,61655
"DEVON AND CORNWALL AUTISTIC COMMUNITY TRUST",2,309771.69
"DISABILITY ASSOCIATION CARLISLE & EDEN",2,498394.92
"DOVE HOUSE HOSPICE",2,552104
"EAST ANGLIA'S CHILDREN'S HOSPICES",2,355754.96
"EAST LANCASHIRE MEDICAL SERVICES LIMITED",2,5706866.12
"EPILEPSY SOCIETY",2,3799661.5
"FARLEIGH HOSPICE",2,2214925.78
"FOCUSED CARE C.I.C.",2,1151717.08
"FRANCES TAYLOR FOUNDATION",2,933239.04
"FUTURE DIRECTIONS CIC",2,714972.57
"GARDEN HOUSE HOSPICE",2,1512220.59
"GMCVO",2,340364
"GP CARE UK LIMITED",2,2964848.33
"GREENWICH AND BEXLEY COMMUNITY HOSPICE LIMITED",2,3393146
"GROUNDSWELL",2,119500
"HARTLEPOOL AND DISTRICT HOSPICE",2,639446.96
"HEALTH YOUR WAY C.I.C.",2,139383.38
"HEALTHCARE FINANCIAL MANAGEMENT ASSOCIATION",2,56475.24
"HF TRUST LIMITED",2,106108.16
"HFMA",2,59805.71
"HOLLYBANK TRUST",2,282027.7
"HOMES PLUS LIMITED",2,474560.36
"HOPE CITADEL HEALTHCARE COMMUNITY INTEREST COMPANY",2,1677509.71
"HOPE HOUSE CHILDREN'S HOSPICES",2,253364
"HOSPICE IN THE WEALD",2,3618064.38
"HOSPICE OF ST FRANCIS",2,596368.46
"HOSPITAL OF ST JOHN AND ST ELIZABETH",2,3310045.07
"INCLUSION NORTH COMMUNITY INTEREST COMPANY",2,199400
"INDEPENDENT LIVING AGENCY",2,370478.34
"JEWISH CARE",2,473915.5
"KIRKWOOD HOSPICE",2,2019425
"LANCASHIRE MIND LIMITED",2,143548.25
"LANCASHIRE WOMEN",2,606317.32
"LGBT FOUNDATION LTD",2,282653.2
"LOROS",2,1703211.1
"MASTERCALL HEALTHCARE",2,6753799.21
"MEDWAY COMMUNITY HEALTHCARE C.I.C.",2,46936786.56
"METROPOLITAN HOUSING TRUST LIMITED",2,477040.56
"MID AND NORTH ESSEX MIND",2,257843.01
"MIDDLESBROUGH AND STOCKTON MIND LIMITED",2,1030878.58
"MIND (THE NATIONAL ASSOCIATION FOR MENTAL HEALTH)",2,757944.85
"MIND IN BRADFORD",2,698944
"MOSAIC 1898 LTD",2,80072.88
"NATIONAL ASSOCIATION OF PRIMARY CARE LIMITED",2,110640
"NATIONAL AUTISTIC SOCIETY",2,71731.2
"NATIONAL STAR COLLEGE",2,72325.57
"NAVIGO LIMITED",2,26918422.77
"NORTH LONDON HOSPICE",2,2279882.5
"NORTH STAFFORDSHIRE GP FEDERATION LIMITED",2,3277300.69
"NORTH STAFFS MIND",2,324559
"NORTHPOINT WELLBEING LIMITED",2,2606850
"NOTTINGHAM COMMUNITY HOUSING ASSOCIATION LIMITED",2,370043.86
"OFF THE RECORD YOUTH COUNSELLING CROYDON",2,537274.8
"OPEN DOOR CARE C.I.C",2,421061.58
"PATHWAYS ASSOCIATES COMMUNITY INTEREST COMPANY",2,196000
"PEACE HOSPICE (THE)",2,2025717.22
"PLACE2BE",2,587308
"PORCHLIGHT",2,108333.34
"PRIMARY CARE 24 (MERSEYSIDE) LIMITED",2,1819249.5
"PROSPECT HOSPICE LIMITED",2,1261094.73
"QUEEN ELIZABETH'S FOUNDATION FOR DISABLED PEOPLE",2,806821.65
"QUEENSCOURT HOSPICE",2,946862
"RECOVERY REPUBLIC CIC",2,70000
"RELATE DERBY AND SOUTHERN DERBYSHIRE",2,336800
"RENNIE GROVE HOSPICE CARE",2,1486052.8
"RNIB",2,97237.1
"ROWAN ORGANISATION",2,81928.99
"RUSKIN MILL TRUST LIMITED",2,173996.86
"SAINT JOHN OF GOD HOSPITALLER SERVICES",2,261623.92
"SENTINEL HEALTHCARE SOUTH WEST CIC",2,1532227.43
"SEVERN HOSPICE LIMITED",2,4289897.47
"SKILLS FOR PEOPLE",2,107350
"SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED",2,5153869.07
"SOUTHDOWN HOUSING ASSOCIATION LIMITED",2,1117000
"ST CLARE HOSPICE TRUST",2,1705520
"ST CUTHBERT'S HOSPICE, DURHAM",2,925830.04
"ST LUKE'S HOSPICE PLYMOUTH",2,1203920
"ST MONICA TRUST",2,439982.59
"ST RAPHAEL'S HOSPICE",2,1455758.17
"SUFFOLK COMMUNITY FOUNDATION",2,1450306
"SUFFOLK FAMILY CARERS LIMITED",2,67130.19
"TAMESIDE, OLDHAM AND GLOSSOP MIND",2,512424.05
"TEESSIDE HOSPICE CARE FOUNDATION",2,1488912.54
"TETBURY HOSPITAL TRUST LIMITED",2,1140697.36
"THAMES HOSPICE",2,3001444.97
"THE BIG LIFE COMPANY LIMITED",2,4080330.32
"THE BRANDON TRUST",2,119535.65
"THE CAMPHILL VILLAGE TRUST LIMITED",2,72187.34
"THE CARERS' RESOURCE",2,484305.9
"THE DOVER COUNSELLING CENTRE",2,2163690
"THE EAST LANCASHIRE HOSPICE",2,1482421.97
"THE END OF LIFE PARTNERSHIP LIMITED",2,246210
"THE KING'S FUND",2,165680
"THE MARTLETS HOSPICE LIMITED",2,2312868.5
"THE PROUD TRUST LTD",2,55030
"THE ROYAL COLLEGE OF PHYSICIANS OF LONDON",2,107766.6
"THE STAFF COLLEGE: LEADERSHIP IN HEALTHCARE",2,80705
"TOUCHSTONE-LEEDS",2,498482
"TRINITY HOSPICE AND PALLIATIVE CARE SERVICES LTD",2,3532155.5
"UNIVERSITY OF CUMBRIA",2,203600
"VENUS WORKING CREATIVELY WITH YOUNG WOMEN",2,131096.96
"VIBRANCE",2,1571055.99
"VOLUNTARY ACTION CALDERDALE",2,182000
"VOLUNTARY ACTION ROTHERHAM",2,1334189
"VOLUNTARY SUPPORT NORTH SURREY",2,85088
"WESTMINSTER MIND",2,235213.5
"WILLEN HOSPICE",2,1166013.04
"WIRRAL HOSPICE ST JOHN'S",2,2031872
"WOKING HOSPICE",2,2115403.89
"YOUNG EPILEPSY",2,135970.54
"YOUNGER PEOPLE WITH DEMENTIA (BERKSHIRE) CIO",2,203094
"YOUR HEALTHCARE COMMUNITY INTEREST COMPANY",2,30434102.72
"YOUR VOICE COUNTS",2,79999
"AUTISM.WEST MIDLANDS",2,121440.63
"ST. HELENA HOSPICE LIMITED",2,4175590
"THE INNOVATION UNIT LIMITED",2,89982
"LOOK AHEAD CARE AND SUPPORT LIMITED",2,1211414.26
"CHILDREN AND YOUNG PEOPLE'S EMPOWERMENT PROJECT LIMITED",2,205485
"ST. MARY'S HOSPICE LIMITED",2,3406802
"1POINT (NORTH WEST) LIMITED",1,276822
"ABBEYFIELD BUCKINGHAMSHIRE SOCIETYLIMITED (THE)",1,26119.42
"ST GEORGE'S DAY CENTRE (BOLTON) LTD",1,114218.24
"ABSOLUTELY CULTURED LIMITED",1,65000
"ACCESS COMMUNITY TRUST",1,143648.2
"HOYLAKE COTTAGE",1,250096.65
"ABBEYFIELD SOCIETY (THE)",1,32459.76
"AGE CONCERN ESSEX",1,137963
"BARNSLEY PREMIER LEISURE",1,50414.4
"ACCI",1,180896
"ACE",1,31517.33
"ACTION FOR CARERS (OXFORDSHIRE) LTD",1,240000
"ACTION FOR FAMILY CARERS",1,39510
"ACTION TOGETHER CIO",1,54500
"ACTIVE GLOUCESTERSHIRE",1,132096
"ADDISS",1,71760.37
"ADDVANCED SOLUTIONS COMMUNITY NETWORK CIC",1,81316.8
"ADHD SOLUTIONS COMMUNITY INTEREST COMPANY",1,26822
"ADS",1,356950
"ADVANCE HOUSING AND SUPPORT LTD",1,158615.25
"AFFINITY TRUST",1,146315.77
"AGE CONCERN",1,40800
"AGE CONCERN BIRMINGHAM",1,73826
"AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED",1,134000
"AGE CONCERN DUDLEY",1,30000
"AGE CONCERN ENFIELD",1,33240.1
"AGE CONCERN HILLINGDON",1,29858.13
"AGE CONCERN LUTON",1,125000
"AGE UK",1,50357.2
"AGE UK BOLTON",1,299162.94
"AGE UK BRIGHTON & HOVE",1,194487
"AGE UK CALDERDALE & KIRKLEES",1,316096
"AGE UK CAMDEN",1,480268.28
"AGE UK CHESHIRE",1,138013.35
"AGE UK COVENTRY",1,317608
"AGE UK CROYDON",1,814616
"AGE UK FAVERSHAM AND SITTINGBOURNE",1,108000
"AGE UK GATESHEAD",1,118102
"AGE UK GLOUCESTERSHIRE",1,399764.04
"AGE UK HERNE BAY",1,110614
"AGE UK ISLE OF WIGHT",1,54971
"AGE UK KENSINGTON AND CHELSEA",1,55000
"AGE UK LAMBETH",1,116500
"AGE UK LANCASHIRE",1,442249
"AGE UK LEEDS",1,270000
"AGE UK LEWISHAM AND SOUTHWARK",1,74425
"AGE UK NORFOLK",1,60000
"AGE UK NORTH TYNESIDE",1,281985
"AGE UK NORTH WEST KENT",1,140000
"AGE UK NORTHAMPTONSHIRE",1,420408
"AGE UK SHROPSHIRE TELFORD & WREKIN",1,96952
"AGE UK SOUTH GLOUCESTERSHIRE LTD",1,229688
"AGE UK SUNDERLAND",1,533299
"AGE UK SUTTON",1,225189.6
"AGE UK TAMESIDE",1,105387
"AGE UK TRAFFORD",1,25000
"AGE UK WAKEFIELD DISTRICT",1,386666
"AGE UK WALTHAM FOREST",1,343249
"AGE UK WILTSHIRE",1,247660
"ALBION IN THE COMMUNITY",1,90000
"ALL HALLOWS HEALTHCARE TRUST",1,194146.2
"ALLIANCE FOR BETTER CARE CIC",1,363389.73
"ALZHEIMER'S SOCIETY",1,323145
"ANCHOR - THE COUNSELLING PRACTICE",1,568932
"ANCHOR TRUST",1,27881.95
"APPROACH SUPPORTING YOUR LIFE YOUR WAY",1,120000
"AQUARIUS",1,111645.75
"ARCH HEALTH COMMUNITY INTEREST COMPANY",1,910226.84
"ART SHAPE LIMITED",1,35000
"ARTHUR RANK HOSPICE CHARITY",1,3600000
"ARTLIFT",1,40000
"ARTS FOR RECOVERY IN THE COMMUNITY",1,29795
"ASHOVER PRIMARY CARE CENTRE",1,482099.76
"ASSOCIATION OF COLLEGES",1,3e+05
"ATRIUM HEALTH LTD",1,104248.06
"AURORA WELLBEING CENTRES",1,28000
"AUTISM-IN-MIND COMMUNITY INTEREST COMPANY",1,130000
"AUTISM FAMILY SUPPORT OXFORDSHIRE",1,50000
"AUTISM PLUS LIMITED",1,35537.2
"AVALON GROUP (SOCIAL CARE)",1,122727.14
"AXIS COUNSELLING",1,60600
"B A N D",1,51203
"BADGER HEALTHCARE LIMITED",1,5617991.91
"BALANCE (SUPPORT) CIC",1,199603.4
"BANES ENHANCED MEDICAL SERVICES + LIMITED",1,1585958.32
"BANGLADESHI SUPPORT CENTRE",1,49960
"BARCA - LEEDS",1,493616.63
"BARNET FEDERATED GPS C.I.C.",1,4867481.93
"BARNSLEY HEALTHCARE FEDERATION (BHF) CIC",1,526442.31
"BARNSLEY HOSPICE APPEAL",1,1589086.08
"BASE 25",1,82155
"BASSETLAW COMMUNITY AND VOLUNTARY SERVICE",1,284800
"BATTERSEA HEALTHCARE COMMUNITY INTEREST COMPANY",1,23620529.32
"BCOP",1,148269
"BEAUMOND HOUSE COMMUNITY HOSPICE",1,340515.48
"BEDFORD ON CALL LIMITED",1,1067320.48
"BEECHWOOD CANCER CARE CENTRE",1,254016.56
"BEN - MOTOR AND ALLIED TRADES BENEVOLENT FUND",1,34400
"BERKSHIRE AUTISTIC SOCIETY",1,25510
"BEST BEGINNINGS",1,31000
"BIRMINGHAM CITIZENS ADVICE BUREAU SERVICE LTD",1,125000
"BIRMINGHAM DISABILITY RESOURCE CENTRE",1,110110
"BIRMINGHAM EDUCATION PARTNERSHIP LIMITED",1,118300
"BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATION LIMITED",1,1440276
"BLACK HEALTH AGENCY",1,37100
"BLACKPOOL FC COMMUNITY TRUST",1,33333
"BLUEBELL CARE TRUST",1,30000
"BLUEBELL WOOD CHILDRENS HOSPICE",1,30000
"BLYTHE HOUSE HOSPICE",1,247734
"BME HEALTH FORUM",1,33833
"BOARBANK HALL CONVALESCENT HOME, GRANGE-OVER-SANDS",1,31570
"BOLTON AT HOME LIMITED",1,28000
"BOLTON COMMUNITY AND VOLUNTARY SERVICES",1,659593.01
"BOLTON COMMUNITY PRACTICE C.I.C.",1,1362083.85
"BOLTON HOSPICE",1,1291046.05
"BOURNEMOUTH CVS",1,30000
"BOURNVILLE VILLAGE TRUST",1,71952.51
"BOW HEALTH NETWORK CIC",1,147300.96
"BRADFORD RAPE CRISIS AND SEXUAL ABUSE SURVIVORS SERVICE",1,158930
"BRENT CENTRE FOR YOUNG PEOPLE",1,133728
"BRIDGE 86 LIMITED",1,1e+05
"BRIDGEWOOD TRUST LIMITED",1,873352.05
"BRIGHTON HOUSING TRUST",1,851823
"BRISTOL & DISTRICT TRANQUILLISER PROJECT",1,65498
"BRISTOL MIND",1,225919
"BRISTOL MISSING LINK LIMITED",1,578164
"BRITISH HOME AND HOSPITAL FOR INCURABLES",1,122713.11
"BRITISH REFUGEE COUNCIL",1,83215
"BROADENING CHOICES FOR OLDER PEOPLE",1,35726.99
"BROMLEY 'Y'",1,574750
"BROOK YOUNG PEOPLE",1,29500
"BROTHERS OF CHARITY SERVICES",1,94431.54
"BUCKINGHAMSHIRE MIND",1,121710
"BUILDING CIRCLES IN GLOUCESTERSHIRE",1,50000
"BURNLEY PENDLE AND ROSSENDALE COUNCIL FOR VOLUNTARY SERVICE",1,1003243
"BURY HOSPICE",1,429912
"CALICO ENTERPRISE LIMITED",1,73200
"CALL PLUS",1,52017
"CALLPLUS",1,54209.24
"CAMDEN CITIZENS ADVICE BUREAUX SERVICE LIMITED",1,41957
"CANCER RESEARCH UK",1,25599.6
"CANCER SUPPORT YORKSHIRE",1,207156
"CANCERCARE (NORTH LANCASHIRE & SOUTH CUMBRIA)",1,131075
"CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE",1,26000
"CANTERBURY OAST TRUST",1,38096.33
"CARE NETWORK",1,174148
"CARE PLUS GROUP (NORTH EAST LINCOLNSHIRE) LIMITED",1,25514872.63
"CARERS' HUB",1,30000
"CARERS LEEDS",1,156250
"CARERS SUPPORT CENTRE",1,277397.5
"CARFAX HEALTH ENTERPRISE COMMUNITY INTEREST COMPANY",1,2084285.03
"CATALYST",1,254000
"CATCH 22 CHARITY LIMITED",1,31750
"CATHOLIC BLIND INSTITUTE",1,326292.89
"CAUSEWAY CARE C.I.C.",1,242452.5
"CENTRAL AND CECIL HOUSING TRUST",1,35475.44
"CENTRAL LONDON HEALTHCARE CIC",1,3394119.57
"CENTRAL NOTTINGHAMSHIRE MIND",1,34154.5
"CENTRE 404",1,70077.98
"CERT FOUNDATION CIC",1,38000
"CHANGE, GROW, LIVE",1,320833.31
"CHANGES HEALTH & WELLBEING",1,177324.8
"CHAPTER (WEST CHESHIRE) LTD",1,34287
"CHELSEA AND WESTMINSTER HEALTH CHARITY",1,49950
"CHIL PLYMOUTH LTD",1,25000
"CHILD ACTION NORTHWEST",1,28254
"CHILDREN NORTH EAST",1,62500
"CHILTERN VALE HEALTH CIC",1,44315.6
"CHIME SOCIAL ENTERPRISE COMMUNITY INTEREST COMPANY",1,3194663
"CHRISTCHURCH HOUSING SOCIETY",1,77837.47
"CITIZENS ADVICE BUREAU TENDRING",1,30000
"CITIZENS ADVICE SORT GROUP",1,118160.14
"CLAIRE HOUSE",1,154000
"CLD TRUST",1,144947
"CLOVERLEAF ADVOCACY 2000 LTD",1,134381
"CLUB DONCASTER COMMUNITY SPORTS & EDUCATION FOUNDATION",1,30000
"CME IN THE COMMUNITY",1,48000
"COLA",1,262380.57
"COLEBROOK (SOUTHWEST) LIMITED",1,34140
"COLEG ELIDYR CAMPHILL COMMUNITIES",1,60487.73
"COMMUNICARE IN SOUTHAMPTON",1,146112
"COMMUNITY BARNET",1,191499.98
"COMMUNITY BASED CARE HEALTH LIMITED",1,4884537.4
"COMMUNITY CARE TRUST (SOUTH WEST) LIMITED",1,658476.69
"COMMUNITY COUNCIL FOR SOMERSET",1,165400
"COMMUNITY COUNSELLING (NORTH YORKSHIRE) LIMITED",1,25929
"COMMUNITY LINKS",1,2579151.25
"COMMUNITY LINKS TRUST LIMITED",1,458310
"COMMUNITY PRACTITIONER ALLIANCE C.I.C.",1,39900
"COMMUNITY SUPPORT NETWORK",1,197110
"COMMUNITY360",1,251000
"COMPASS WELLBEING CIC",1,2732139.07
"CONDOVER COLLEGE LIMITED",1,176494.37
"CONNECT HEALTHCARE ROTHERHAM CIC",1,1811433
"CORE CARE LINKS LIMITED",1,1718749.73
"CORNERSTONE HEALTHCARE COMMUNITY INTEREST COMPANY",1,736557.56
"CORNWALL CARE LIMITED",1,5725153.54
"CORNWALL HOSPICE CARE LIMITED",1,1130020.2
"COUNCIL FOR VOLUNTARY SERVICE (MEDWAY)",1,49813.43
"COVERAGE CARE LIMITED",1,180673.53
"CRAWLEY COMMUNITY ACTION",1,27747
"CROSSROADS CARE",1,881254.82
"CROSSROADS CARE CAMBRIDGESHIRE",1,489726.8
"CROSSROADS CARE WEST KENT",1,125000
"CROSSROADS IN EAST LANCASHIRE LIMITED",1,94926
"CROYDON YOUTH INFORMATION AND COUNSELLING SERVICE LIMITED",1,83688.75
"CRUSE BEREAVEMENT SUPPORT",1,25000
"CULTURE SQUARED CIC",1,30000
"CUMBRIA COUNCIL FOR VOLUNTARY SERVICE",1,75000
"DAISY CHAIN PROJECT TEESSIDE",1,40000
"DAME HANNAH ROGERS TRUST",1,121971.3
"DARNALL WELL-BEING CENTRE LIMITED",1,236337.27
"DEAFLINK NORTH EAST",1,25565
"DELPHSIDE LTD",1,27713.37
"DEMENTIA CONCERN",1,242000
"DERBYSHIRE VOLUNTARY ACTION",1,37699.97
"DERIAN HOUSE CHILDRENS HOSPICE",1,75000
"DERVENTIO HOUSING TRUST CIC",1,52000
"DERWENTSIDE HOSPICE CARE FOUNDATION",1,483313
