"ID","SUPPLIER_STANDARD_NAME","Invoices","Spending"
133,"NORTH LONDON HOSPICE",25,2279882.5
134,"METHODIST HOMES",70,2246765.66
135,"KATHARINE HOUSE HOSPICE",16,2241739.67
136,"FARLEIGH HOSPICE",10,2214925.78
137,"PRINCESS ALICE HOSPICE",15,2169281.3
138,"ST WILFRID'S HOSPICE (EASTBOURNE)",8,2167643.54
139,"THE DOVER COUNSELLING CENTRE",30,2163690
140,"ST. OSWALD'S HOSPICE LIMITED",33,2156556.43
141,"MAKING SPACE",19,2126553.76
142,"ALLIED HEALTH PROFESSIONALS SUFFOLK CIC",15,2120909.48
143,"WOKING HOSPICE",12,2115403.89
144,"WIGAN AND LEIGH HOSPICE",7,2108632.5
145,"CARFAX HEALTH ENTERPRISE COMMUNITY INTEREST COMPANY",36,2084285.03
146,"COMMUNITY INTEGRATED CARE",51,2080460.46
147,"SALFORD CVS",8,2056000
148,"BRITISH RED CROSS SOCIETY",46,2051939.83
149,"STROKE ASSOCIATION",50,2034162.52
150,"WIRRAL HOSPICE ST JOHN'S",4,2031872
151,"PEACE HOSPICE (THE)",6,2025717.22
152,"KIRKWOOD HOSPICE",4,2019425
153,"ROYAL HOSPITAL FOR NEURO-DISABILITY",20,1988397.38
154,"BRUNELCARE",37,1904242.15
155,"WELDMAR HOSPICECARE TRUST",14,1831143.33
156,"PRIMARY CARE 24 (MERSEYSIDE) LIMITED",14,1819249.5
157,"PICKERING MEDICAL PRACTICE",13,1813702.8
158,"CONNECT HEALTHCARE ROTHERHAM CIC",10,1811433
159,"HAVENS HOSPICES",5,1781273
160,"TOGETHER FOR MENTAL WELLBEING",26,1754952.7
161,"ISABEL HOSPICE",3,1744269.75
162,"ST MUNGOS",12,1734808
163,"CORE CARE LINKS LIMITED",21,1718749.73
164,"OASIS TALKING THERAPIES CIC",24,1710097.39
165,"ST CLARE HOSPICE TRUST",2,1705520
166,"LOROS",3,1703211.1
167,"ST BARNABAS HOSPICE",7,1687759.48
168,"ST PETER'S HOSPICE",4,1683326
169,"HOPE CITADEL HEALTHCARE COMMUNITY INTEREST COMPANY",46,1677509.71
170,"YOUNG PERSONS ADVISORY SERVICE",10,1676645.5
171,"PHYLLIS TUCKWELL HOSPICE",19,1672227.26
172,"ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY",24,1660872.84
173,"THAMES REACH",7,1651207
174,"WEST KENT HEALTH LIMITED",4,1634582
175,"TOGETHER FIRST LIMITED",20,1625439.17
176,"PRIMARY CARE WIRRAL LIMITED",11,1615009.5
177,"BARNSLEY HOSPICE APPEAL",4,1589086.08
178,"BANES ENHANCED MEDICAL SERVICES + LIMITED",34,1585958.32
179,"ST MICHAEL'S HOSPICE",13,1579849
180,"VIBRANCE",20,1571055.99
181,"SPIRAL HEALTH C.I.C.",30,1570138
182,"VRANCH HOUSE SCHOOL & CENTRE",5,1567222
183,"ST. JOHN'S HOSPICE NORTH LANCASHIRE AND SOUTH LAKES",14,1566696.46
184,"ST. LEONARD'S HOSPICE YORK",6,1541570
185,"SENTINEL HEALTHCARE SOUTH WEST CIC",28,1532227.43
186,"TRINITY HOSPICE",14,1521606.67
187,"GARDEN HOUSE HOSPICE",7,1512220.59
188,"MILESTONES TRUST",24,1501019.86
189,"ST. ELIZABETH HOSPICE (SUFFOLK)",2,1493551.38
190,"TEESSIDE HOSPICE CARE FOUNDATION",16,1488912.54
191,"RENNIE GROVE HOSPICE CARE",16,1486052.8
192,"THE EAST LANCASHIRE HOSPICE",6,1482421.97
193,"LIVING WELL CONSORTIUM LTD.",22,1478160.44
194,"NORTH KENT MIND",18,1471830
195,"ST RAPHAEL'S HOSPICE",19,1455758.17
196,"SUFFOLK COMMUNITY FOUNDATION",5,1450306
197,"ST RICHARDS HOSPICE FOUNDATION",13,1447564.99
198,"BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATION LIMITED",12,1440276
199,"WELLSBOURNE HEALTHCARE CIC",14,1438564.2
200,"WILLOWBROOK HOSPICE",21,1418413.68
201,"DOROTHY HOUSE",14,1401797.15
202,"BOLTON COMMUNITY PRACTICE C.I.C.",17,1362083.85
203,"KEECH HOSPICE CARE",8,1359621.64
204,"HALTON HAVEN HOSPICE",1,1358562
205,"ST. CATHERINE'S HOSPICE (LANCASHIRE) LIMITED",4,1349464
206,"CHOICE SUPPORT",26,1342754.71
207,"VOLUNTARY ACTION ROTHERHAM",15,1334189
208,"BEXLEY HEALTH NEIGHBOURHOOD CARE C.I.C.",18,1312858.79
209,"THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE",34,1304510.01
210,"BOLTON HOSPICE",5,1291046.05
211,"NATIONAL STAR FOUNDATION",26,1272614.25
212,"PROSPECT HOSPICE LIMITED",4,1261094.73
213,"ELLENOR",12,1249467.84
214,"SUNDERLAND COUNSELLING SERVICES",17,1237033.9
215,"DARLINGTON AND DISTRICT HOSPICE MOVEMENT",17,1219113
216,"LOOK AHEAD CARE AND SUPPORT LIMITED",11,1211414.26
217,"ST LUKE'S HOSPICE PLYMOUTH",8,1203920
218,"NORTH DEVON HOSPICE",17,1190399.2
219,"WILLEN HOSPICE",14,1166013.04
220,"HOSPISCARE",12,1163064
221,"OXFORDSHIRE MIND",8,1155250
222,"FOCUSED CARE C.I.C.",16,1151717.08
223,"OAKLEAF",12,1148553.02
224,"ROYAL TRINITY HOSPICE",13,1143137
225,"TETBURY HOSPITAL TRUST LIMITED",14,1140697.36
226,"CORNWALL HOSPICE CARE LIMITED",14,1130020.2
227,"SOUTHDOWN HOUSING ASSOCIATION LIMITED",9,1117000
228,"KENSINGTON AND CHELSEA SOCIAL COUNCIL",8,1114365
229,"HARTLEPOOL MIND",15,1110093.44
230,"NORTHAMPTONSHIRE CARERS",15,1107067.4
231,"ACORNS CHILDRENS HOSPICE TRUST",27,1072840.08
232,"BEDFORD ON CALL LIMITED",9,1067320.48
233,"THE DISABILITIES TRUST",25,1057899.72
234,"OVERGATE HOSPICE",2,1050120
235,"THE SHAW FOUNDATION LIMITED",3,1041626.25
236,"MIDDLESBROUGH AND STOCKTON MIND LIMITED",25,1030878.58
237,"LEEDS MIND",7,1021250.55
238,"ST ROCCO'S HOSPICE",6,1017448.75
239,"MISSION CARE",26,1015853.35
240,"WAKEFIELD HOSPICE",2,1008658
241,"BURNLEY PENDLE AND ROSSENDALE COUNCIL FOR VOLUNTARY SERVICE",3,1003243
242,"ACTION FOR DEAFNESS",14,1000273.31
243,"PENDLESIDE HOSPICE",2,957789
244,"QUEENSCOURT HOSPICE",20,946862
245,"ST NICHOLAS HOSPICE SUFFOLK",1,944972
246,"BUTTERWICK HOSPICE CARE",16,943147.96
247,"FRANCES TAYLOR FOUNDATION",24,933239.04
248,"ACCELERATE HEALTH CIC",9,932159.11
249,"PEACE HOSPICE CARE",10,928543.75
250,"ST CUTHBERT'S HOSPICE, DURHAM",9,925830.04
251,"WHIZZ-MOBILITY C.I.C.",12,920773.6
252,"PURPLE CONVERSATION COMMUNITY INTEREST COMPANY",31,910250.99
253,"ARCH HEALTH COMMUNITY INTEREST COMPANY",23,910226.84
254,"FITZROY SUPPORT",15,909097.56
255,"LIVABILITY",20,889496.65
256,"DR KERSHAWS HOSPICE",18,889264
257,"STEP ONE CHARITY",4,881367.81
258,"CROSSROADS CARE",6,881254.82
259,"BARNARDO'S",15,879815.24
260,"MILDMAY MISSION HOSPITAL UK",15,875481.5
261,"BRIDGEWOOD TRUST LIMITED",13,873352.05
262,"NORTH YORKSHIRE HOSPICE CARE",5,868230
263,"ST MICHAEL'S HOSPICE (NORTH HAMPSHIRE)",12,854274
264,"BRIGHTON HOUSING TRUST",12,851823
265,"YOUTH ENQUIRY SERVICE (PLYMOUTH) LIMITED",13,843835.99
266,"HOSPICE OF THE GOOD SHEPHERD",1,826000
267,"PRIMARY CARE COMMISSIONING COMMUNITY INTEREST COMPANY",8,818760
268,"AGE UK CROYDON",11,814616
269,"QUEEN ELIZABETH'S FOUNDATION FOR DISABLED PEOPLE",12,806821.65
270,"THE FIVE TOWNS PLUS HOSPICE FUND LIMITED",1,799737.5
271,"WARRINGTON PRIMARY CARE C.I.C.",6,789808.64
272,"WEST CAMBS FEDERATION CIC",10,784126
273,"PROMISING FUTURES",16,782543.77
274,"BROMLEY, LEWISHAM & GREENWICH MIND LTD",11,780218.97
275,"ESSEX COMMUNITY FOUNDATION",1,763760
276,"CHILDREN'S HOSPICE SOUTH WEST",15,760952
277,"SAFECARE NETWORK LIMITED",14,759379.45
278,"MIND (THE NATIONAL ASSOCIATION FOR MENTAL HEALTH)",26,757944.85
279,"ACTION ON HEARING LOSS",19,757366.31
280,"BRADFORD VCS ALLIANCE LIMITED",9,757000
281,"CORNERSTONE HEALTHCARE COMMUNITY INTEREST COMPANY",12,736557.56
282,"ACTION FOR CHILDREN",17,734820.36
283,"THREE CS SUPPORT",10,734501.5
284,"THE NOTTINGHAMSHIRE HOSPICE LIMITED",15,733256.09
285,"ST CLARE'S HOSPICE",4,731956.2
286,"FUTURE DIRECTIONS CIC",13,714972.57
287,"FAMILY ACTION",12,704913
288,"HELP AND CARE",18,701999.94
289,"MIND IN BRADFORD",8,698944
290,"COMPLETE OPHTHALMIC SERVICES C.I.C.",13,682082
291,"ENABLE2 C.I.C.",12,672760.48
292,"LONDON CYRENIANS HOUSING LIMITED",18,671594.04
293,"BOLTON COMMUNITY AND VOLUNTARY SERVICES",8,659593.01
294,"COMMUNITY CARE TRUST (SOUTH WEST) LIMITED",4,658476.69
295,"AGEUK SALFORD",12,657060.96
296,"ONE HOUSING GROUP LIMITED",8,656556
297,"THE MAYFIELD TRUST",12,655784.55
298,"HARTLEPOOL AND DISTRICT HOSPICE",16,639446.96
299,"AGE CONCERN ROTHERHAM LIMITED",7,630963
300,"SOUTH LIVERPOOL CITIZENS ADVICE BUREAU",13,629538
301,"MIND IN CROYDON",5,618209.85
302,"CATALYST STOCKTON-ON-TEES LIMITED",5,616137.4
303,"THE AVENUES TRUST GROUP",5,613425.09
304,"WESTON HOSPICECARE LIMITED",14,609106.12
305,"LANCASHIRE WOMEN",13,606317.32
306,"EDEN VALLEY HOSPICE, CARLISLE",1,605138.16
307,"THE DUDLEY COUNCIL FOR VOLUNTARY SERVICE",3,604760.96
308,"SEASHELL TRUST",10,598802.71
309,"HOSPICE OF ST FRANCIS",13,596368.46
310,"OAKHAVEN HOSPICE TRUST",12,591276
311,"PLACE2BE",2,587308
312,"HYDE PHYSIOTHERAPY CENTRE",13,583975
313,"DONISTHORPE HALL",11,583348.83
314,"BRIGHTER FUTURES HOUSING ASSOCIATION LIMITED",9,582938
315,"PENTREATH LIMITED",12,578691.46
316,"BRISTOL MISSING LINK LIMITED",4,578164
317,"ST ANDREWS HOSPICE",4,574779
318,"BROMLEY 'Y'",9,574750
319,"ANCHOR - THE COUNSELLING PRACTICE",4,568932
320,"ST LUKE'S CHESHIRE HOSPICE",12,566860
321,"THE SUSSEX BEACON",4,566788
322,"PENROSE HOUSING ASSOCIATION LIMITED",4,563711
323,"CITIZENS ADVICE BUREAU",14,553614.61
324,"DOVE HOUSE HOSPICE",7,552104
325,"HESTIA HOUSING AND SUPPORT",12,548882.08
326,"H4ALL C.I.C.",11,547977.54
327,"PRIMARY CARE CHESHIRE CIC",14,543491.7
328,"OFF THE RECORD YOUTH COUNSELLING CROYDON",13,537274.8
329,"EAST MIDLANDS CROSSROADS-CARING FOR CARERS",4,534000
330,"AGE UK SUNDERLAND",8,533299
331,"KALEIDOSCOPE PLUS GROUP",13,532109
332,"SENSE",15,531485.39
333,"OUT OF HOURS WEST LANCASHIRE C.I.C.",14,526929.92
334,"BARNSLEY HEALTHCARE FEDERATION (BHF) CIC",13,526442.31
335,"THE LOCALITY HEALTH CENTRE CIC",13,523632.58
336,"PRIORS COURT FOUNDATION",9,521873.23
337,"WILLOW WOOD HOSPICE",4,519462
338,"SOMERSET CARE LIMITED",17,517510.32
339,"TREETOPS HOSPICE TRUST",12,513478.89
340,"TAMESIDE, OLDHAM AND GLOSSOP MIND",13,512424.05
341,"THE MARY STEVENS HOSPICE",2,510800
342,"SOCIAL ADVENTURES LIMITED",4,510476
343,"BIG LIFE SERVICES",14,506270.2
344,"BELONG LIMITED",13,501880.58
345,"GREATER MANCHESTER SPORTS PARTNERSHIP",2,499567.76
346,"HYNDBURN & RIBBLE VALLEY CVS",3,498594
347,"TOUCHSTONE-LEEDS",7,498482
348,"DISABILITY ASSOCIATION CARLISLE & EDEN",13,498394.92
349,"LINDSEY LODGE HOSPICE",4,497879.75
350,"NIGHTINGALE HAMMERSON",15,494543.68
351,"BARCA - LEEDS",12,493616.63
352,"SELF MANAGEMENT UK LIMITED",11,489754
353,"CROSSROADS CARE CAMBRIDGESHIRE",7,489726.8
354,"THE HEART OF KENT HOSPICE",2,485896.95
355,"MARTIN HOUSE",6,485428.65
356,"THE CARERS' RESOURCE",6,484305.9
357,"DERWENTSIDE HOSPICE CARE FOUNDATION",4,483313
358,"ASHOVER PRIMARY CARE CENTRE",12,482099.76
359,"AGE UK CAMDEN",15,480268.28
360,"METROPOLITAN HOUSING TRUST LIMITED",9,477040.56
361,"HOMES PLUS LIMITED",6,474560.36
362,"JEWISH CARE",14,473915.5
363,"THE LEADERSHIP CENTRE FOR LOCAL GOVERNMENT",8,469212
364,"REAL LIFE OPTIONS",4,468471.21
365,"LEEDS SURVIVOR LED CRISIS SERVICES",3,458799.33
366,"COMMUNITY LINKS TRUST LIMITED",7,458310
367,"THE PERCY HEDLEY FOUNDATION",7,456550.84
368,"ROTHERHAM CROSSROADS-CARING FOR CARERS",9,452416
369,"AGE UK LANCASHIRE",8,442249
370,"ST MONICA TRUST",14,439982.59
371,"MARTHA TRUST",12,438921.21
372,"START IN SALFORD",4,436060
373,"HALE",6,433800
374,"BURY HOSPICE",4,429912
375,"THE NEXT STEP TRUST",12,427813.38
376,"OPEN DOOR CARE C.I.C",13,421061.58
377,"JAFFRAY CARE SOCIETY",12,420689.3
378,"ISLINGTON AGE CONCERN",5,420599
379,"AGE UK NORTHAMPTONSHIRE",9,420408
380,"OUTLOOK CARE",13,418968.85
381,"MIDLANDS PSYCHOLOGY C.I.C",12,418833.3
382,"PBS4",13,417588.1
383,"BIRMINGHAM CHILDRENS TRUST",5,414994.53
384,"ROCHDALE AND DISTRICT MIND",5,411217.4
385,"LANGWORTHY CORNERSTONE ASSOCIATION LTD",5,407120.48
386,"THE DAVID LEWIS CENTRE",12,404580.5
387,"AGE UK GLOUCESTERSHIRE",12,399764.04
388,"MIND IN BRIGHTON & HOVE",10,399493
389,"ONWARD HOMES LIMITED",12,399360
390,"MIND",5,397873.5
391,"HEREFORDSHIRE MIND ASSOCIATION",8,394412
392,"OUTREACH 3 WAY",12,393272.47
393,"POSSABILITY PEOPLE LIMITED",13,390000
394,"WELLBEING ENTERPRISES CIC",1,389235
395,"FIRST STEP TRUST",4,387368.4
396,"AGE UK WAKEFIELD DISTRICT",13,386666
397,"WESSEX AUTISTIC SOCIETY",12,386257.6
398,"SOUTH NORFOLK HEALTHCARE C.I.C.",12,384876
399,"WASHINGTON MIND",9,382660.64
400,"POPLAR AND LIMEHOUSE HEALTH AND WELLBEING NETWORK CIC",2,382218.79
401,"THE NORFOLK HOSPICE",12,377898.31
402,"NEWCASTLE CVS",6,372803.4
403,"INDEPENDENT LIVING AGENCY",8,370478.34
404,"NOTTINGHAM COMMUNITY HOUSING ASSOCIATION LIMITED",5,370043.86
405,"ALLIANCE FOR BETTER CARE CIC",5,363389.73
406,"GREAT YARMOUTH & WAVENEY MIND",6,362722
407,"ADS",11,356950
408,"EAST ANGLIA'S CHILDREN'S HOSPICES",13,355754.96
409,"TOGETHER COLLECTIVE",4,355000
410,"HEADWAY SHROPSHIRE",12,351834.45
411,"THE TOGETHER TRUST",12,344685.17
412,"AGE UK WALTHAM FOREST",5,343249
413,"ACTION FOR ASD",6,342849
414,"BEAUMOND HOUSE COMMUNITY HOSPICE",10,340515.48
415,"GMCVO",5,340364
416,"STAYWELL",2,339809
417,"THE ROYAL MASONIC BENEVOLENT INSTITUTION",10,339731.91
418,"GATESHEAD CARERS ASSOCIATION",4,339067
419,"INVOLVE NORTH EAST",5,337282
420,"RELATE DERBY AND SOUTHERN DERBYSHIRE",9,336800
421,"SUSSEX OAKLEAF HOUSING ASSOCIATION LIMITED",4,330593
422,"CATHOLIC BLIND INSTITUTE",11,326292.89
423,"NORTH STAFFS MIND",8,324559
424,"NO LIMITS (SOUTH)",12,323784
425,"ALZHEIMER'S SOCIETY",5,323145
426,"TEENS IN CRISIS",3,322993.67
427,"CHANGE, GROW, LIVE",11,320833.31
428,"PRE-SCHOOL LEARNING ALLIANCE",2,319000
429,"AGE UK COVENTRY",7,317608
430,"AGE UK CALDERDALE & KIRKLEES",4,316096
431,"FRAMEWORK HOUSING ASSOCIATION",4,314495
432,"BIRMINGHAM AND SOLIHULL WOMEN'S AID",2,313081.33
433,"TARPORLEY WAR MEMORIAL HOSPITAL TRUST",1,313000
434,"LEWIS MANNING HOSPICE",12,312000
435,"DEVON AND CORNWALL AUTISTIC COMMUNITY TRUST",11,309771.69
436,"THE CELLAR TRUST",6,309119.25
437,"GLEBE HOUSING ASSOCIATION LIMITED",11,304582.27
438,"PANKHURST TRUST",11,302500
439,"PIONEERING CARE PARTNERSHIP",6,302500
440,"WOLVERHAMPTON VOLUNTARY SECTOR COUNCIL",9,302442.5
441,"TENDRING COMMUNITY VOLUNTARY SERVICES",3,301000
442,"COVENTRY MIND",6,300445.5
443,"ASSOCIATION OF COLLEGES",1,3e+05
444,"AGE UK BOLTON",5,299162.94
445,"AGE UK NOTTINGHAM AND NOTTINGHAMSHIRE",4,297938
446,"MARY ANN EVANS HOSPICE",4,295431.25
447,"PCC CIC LTD",1,288000
448,"HOSPICE AT HOME WEST CUMBRIA",1,287560
449,"BASSETLAW COMMUNITY AND VOLUNTARY SERVICE",5,284800
450,"SHARING VOICES (BRADFORD)",3,283633.5
451,"HOSPICE AT HOME CARLISLE AND NORTH LAKELAND",2,283589
452,"WEST LONDON CENTRE FOR COUNSELLING",3,282795.75
453,"LGBT FOUNDATION LTD",5,282653.2
454,"HOLLYBANK TRUST",3,282027.7
455,"AGE UK NORTH TYNESIDE",6,281985
456,"CENTRAL LANCASHIRE AGE CONCERN LTD",2,281280
457,"CARERS SUPPORT CENTRE",11,277397.5
458,"1POINT (NORTH WEST) LIMITED",5,276822
459,"BRADFORD TRIDENT LIMITED",4,274960
460,"AGE UK OXFORDSHIRE",3,274952
461,"LEEDS COMMUNITY FOUNDATION",1,274820
462,"AGE UK LEEDS",3,270000
463,"EQUINOX",3,269963.25
464,"WALSALL CARDIAC REHABILITATION TRUST",4,268200
465,"PEABODY TRUST",4,266551
466,"ST BENEDICTS HOSPICE",2,265000
467,"SANCTUARY HOUSING ASSOCIATION",3,262881
468,"COLA",8,262380.57
469,"THE MARKET PLACE (LEEDS)",3,262295
470,"SAINT JOHN OF GOD HOSPITALLER SERVICES",6,261623.92
471,"MID AND NORTH ESSEX MIND",4,257843.01
472,"BEECHWOOD CANCER CARE CENTRE",2,254016.56
473,"CATALYST",9,254000
474,"HOPE HOUSE CHILDREN'S HOSPICES",2,253364
475,"COMMUNITY360",5,251000
476,"HOYLAKE COTTAGE",8,250096.65
